Date,VIX Close,Vxn Close
1/2/2004,18.22,24.51
1/5/2004,17.49,23.89
1/6/2004,16.73,22.76
1/7/2004,15.5,21.91
1/8/2004,15.61,21.89
1/9/2004,16.75,23.01
1/12/2004,16.82,22.56
1/13/2004,18.04,23.05
1/14/2004,16.75,23.17
1/15/2004,15.56,22.64
1/16/2004,15,20.24
1/20/2004,15.21,20.49
1/21/2004,14.34,20.71
1/22/2004,14.71,21.74
1/23/2004,14.84,21.27
1/26/2004,14.55,20.99
1/27/2004,15.35,23.03
1/28/2004,16.78,25.16
1/29/2004,17.14,25.2
1/30/2004,16.63,25.06
2/2/2004,17.11,25.81
2/3/2004,17.34,26.3
2/4/2004,17.87,26.65
2/5/2004,17.71,26.17
2/6/2004,16,24.67
2/9/2004,16.39,25.21
2/10/2004,15.94,24.5
2/11/2004,15.39,23.53
2/12/2004,15.31,23.53
2/13/2004,15.58,24.14
2/17/2004,15.4,23.87
2/18/2004,15.59,23.73
2/19/2004,15.8,24.24
2/20/2004,16.04,24.12
2/23/2004,16.29,24.38
2/24/2004,15.9,24.68
2/25/2004,14.93,23.55
2/26/2004,14.83,23.1
2/27/2004,14.55,22.84
3/1/2004,14.44,22.54
3/2/2004,14.86,22.42
3/3/2004,14.55,23.09
3/4/2004,14.4,22.5
3/5/2004,14.48,22.08
3/8/2004,15.79,24.08
3/9/2004,16.6,24.7
3/10/2004,18.67,26.05
3/11/2004,20.67,26.58
3/12/2004,18.3,25.3
3/15/2004,21.13,27.13
3/16/2004,20.34,27.34
3/17/2004,18.11,24.75
3/18/2004,18.53,24.58
3/19/2004,19.15,25.99
3/22/2004,21.58,27.15
3/23/2004,20.67,26.84
3/24/2004,19.81,26.06
3/25/2004,17.88,23.7
3/26/2004,17.33,23.04
3/29/2004,16.5,23.16
3/30/2004,16.28,23.18
3/31/2004,16.74,23.76
4/1/2004,16.65,23.41
4/2/2004,15.64,21.35
4/5/2004,14.97,21.11
4/6/2004,15.32,22.23
4/7/2004,15.76,21.99
4/8/2004,16.26,21.38
4/12/2004,15.28,20.37
4/13/2004,17.26,22.23
4/14/2004,15.62,21.59
4/15/2004,15.74,22.83
4/16/2004,14.94,22.55
4/19/2004,15.42,21.4
4/20/2004,16.67,23.07
4/21/2004,15.6,22.82
4/22/2004,14.61,21.35
4/23/2004,14.01,20.68
4/26/2004,14.77,21.83
4/27/2004,15.07,21.84
4/28/2004,16.29,23.92
4/29/2004,16.6,24.9
4/30/2004,17.19,25.73
5/3/2004,16.62,25.72
5/4/2004,16.55,25.14
5/5/2004,15.77,24.34
5/6/2004,17.05,25.18
5/7/2004,18.13,25.5
5/10/2004,19.77,27.91
5/11/2004,18.57,27.75
5/12/2004,18.14,27.62
5/13/2004,18.86,28.11
5/14/2004,18.47,29.04
5/17/2004,19.96,29.19
5/18/2004,19.33,27.75
5/19/2004,18.93,26.09
5/20/2004,18.67,25.54
5/21/2004,18.49,24.9
5/24/2004,18.08,24.33
5/25/2004,15.96,22.04
5/26/2004,15.97,21.63
5/27/2004,15.28,21.5
5/28/2004,15.5,21.33
6/1/2004,16.3,22.57
6/2/2004,16.08,22.61
6/3/2004,17.03,23.93
6/4/2004,16.78,23.84
6/7/2004,15.39,22.65
6/8/2004,15.01,22.26
6/9/2004,15.39,22.35
6/10/2004,15.04,21.23
6/14/2004,16.07,22.24
6/15/2004,15.05,20.88
6/16/2004,14.79,20.39
6/17/2004,15.15,21.33
6/18/2004,14.99,20.02
6/21/2004,15.26,19.73
6/22/2004,14.31,19.29
6/23/2004,13.98,18.98
6/24/2004,14.81,19.36
6/25/2004,15.19,18.96
6/28/2004,16.07,20.59
6/29/2004,15.47,20.15
6/30/2004,14.34,19.37
7/1/2004,15.2,20.06
7/2/2004,15.08,19.89
7/6/2004,16.25,22.11
7/7/2004,15.81,22.26
7/8/2004,16.2,22.68
7/9/2004,15.78,22.35
7/12/2004,14.96,21.73
7/13/2004,14.46,21.42
7/14/2004,13.76,21.64
7/15/2004,14.71,21.68
7/16/2004,14.34,20.94
7/19/2004,15.17,22.21
7/20/2004,14.17,20.91
7/21/2004,16.41,22.15
7/22/2004,15.75,22.44
7/23/2004,16.5,23.91
7/26/2004,17.3,25.29
7/27/2004,16.55,24.31
7/28/2004,16.15,24.87
7/29/2004,15.68,23.99
7/30/2004,15.32,23.31
8/2/2004,15.37,24.13
8/3/2004,16.03,25.08
8/4/2004,16.21,25.05
8/5/2004,18.32,26.19
8/6/2004,19.34,27.45
8/9/2004,18.89,27.45
8/10/2004,17.47,26.52
8/11/2004,18.04,26.96
8/12/2004,19.08,28.28
8/13/2004,17.98,27.46
8/16/2004,17.57,26.72
8/17/2004,17.02,25.55
8/18/2004,16.23,24.17
8/19/2004,16.96,23.91
8/20/2004,16,23.06
8/23/2004,15.88,22.54
8/24/2004,15.33,21.97
8/25/2004,14.98,21.41
8/26/2004,14.91,21.6
8/27/2004,14.71,21.27
8/30/2004,15.44,23.14
8/31/2004,15.29,22.92
9/1/2004,14.91,22.65
9/2/2004,14.28,21.62
9/3/2004,13.91,21.06
9/7/2004,14.07,21.44
9/8/2004,14.06,21.28
9/9/2004,14.01,20.58
9/10/2004,13.76,19.14
9/13/2004,13.17,19.49
9/14/2004,13.56,20.3
9/15/2004,14.64,19.92
9/16/2004,14.39,20.13
9/17/2004,14.03,20.56
9/20/2004,14.43,20.3
9/21/2004,13.66,21.06
9/22/2004,14.74,21.17
9/23/2004,14.8,21.1
9/24/2004,14.28,21.92
9/27/2004,14.62,21.36
